Gene	TUSON_p_value_TSG	TUSON_q_value_TSG	TSG_Probability_LASSO	Chromosome
KRTAP3-1	1	1	0.093710271	17
KRTAP3-2	1	1	0.047333949	17
KRTAP3-3	1	1	0.274794238	17
KRTAP4-1	1	1	0.128235079	17
KRTAP4-11	1	1	0.003788182	17
KRTAP4-12	1	1	0.058290615	17
KRTAP4-2	1	1	0.025141115	17
KRTAP4-3	1	1	0.038677642	17
KRTAP4-4	1	1	0.041538988	17
KRTAP4-5	1	1	0.205362457	17
KRTAP4-7	1	1	0.010933774	17
KRTAP4-8	1	1	0.015183896	17
KRTAP4-9	1	1	0.054211613	17
KRTAP5-1	1	1	0.010841862	11
KRTAP5-10	1	1	0.025217117	11
KRTAP5-11	1	1	0.009109407	11
KRTAP5-3	1	1	0.157916934	11
KRTAP5-4	1	1	0.004375148	11
KRTAP5-5	1	1	0.011721847	11
KRTAP5-6	1	1	0.287849845	11
KRTAP5-7	1	1	0.003713844	11
KRTAP5-8	1	1	0.009444773	11
KRTAP5-9	1	1	0.018313357	11
KRTAP6-1	1	1	0.030398462	21
KRTAP6-2	1	1	0.017634952	21
KRTAP6-3	1	1	0.026657588	21
KRTAP8-1	1	1	0.082984671	21
KRTAP9-3	1	1	0.091759228	17
KRTAP9-9	1	1	0.11553173	17
KRTCAP2	1	1	0.171883433	1
KRTCAP3	1	1	0.351488533	2
KRTDAP	1	1	0.033462291	19
KSR1	1	1	0.345552338	17
KSR2	1	1	0.094252807	12
KTI12	1	1	0.206801609	1
KTN1	1	1	0.03691008	14
KXD1	1	1	0.076583253	19
KY	1	1	0.083035198	3
KYNU	1	1	0.06967769	2
L1CAM	1	1	0.006662376	X
L1TD1	1	1	0.035148493	1
L2HGDH	1	1	0.139582388	14
L3HYPDH	1	1	0.162939898	14
L3MBTL1	1	1	0.130768075	20
L3MBTL2	1	1	0.128718235	22
L3MBTL3	1	1	0.150894203	6
L3MBTL4	1	1	0.050092173	18
LACC1	1	1	0.373451657	13
LACE1	1	1	0.295253595	6
LACRT	1	1	0.179230844	12
LACTB	1	1	0.110252112	15
LACTB2	1	1	0.057688202	8
LAD1	1	1	0.058640121	1
LAG3	1	1	0.416000938	12
LAGE3	1	1	0.030875239	X
LAIR1	1	1	0.016753781	19
LAIR2	1	1	0.228074261	19
LALBA	1	1	0.312119482	12
LAMA1	1	1	0.020415059	18
LAMA3	1	1	0.033073303	18
LAMA4	1	1	0.351334527	6
LAMA5	1	1	0.006372047	20
LAMB1	1	1	0.161735011	7
LAMB2	1	1	0.443110983	3
LAMB3	1	1	0.007932112	1
LAMB4	1	1	0.038417738	7
LAMC1	1	1	0.010797261	1
LAMC2	1	1	0.073884419	1
LAMC3	1	1	0.028125819	9
LAMP1	1	1	0.020413416	13
LAMP2	1	1	0.187525248	X
LAMP3	1	1	0.021244317	3
LAMP5	1	1	0.023131996	20
LAMTOR1	1	1	0.035669339	11
LAMTOR2	1	1	0.310722366	1
LAMTOR3	1	1	0.398312853	4
LAMTOR5	1	1	0.101659351	1
LANCL1	1	1	0.054264627	2
LANCL2	1	1	0.007200502	7
LAP3	1	1	0.174967841	4
LAPTM4A	1	1	0.190605289	2
LAPTM4B	1	1	0.120200302	8
LAPTM5	1	1	0.30258828	1
LARGE	1	1	0.020997136	22
LARP4	1	1	0.166484087	12
LARP6	1	1	0.207982633	15
LARS	1	1	0.265455528	5
LARS2	1	1	0.302387333	3
LAS1L	1	1	0.012390467	X
LASP1	1	1	0.071359626	17
LAT2	1	1	0.190932281	7
LATS1	1	1	0.267190983	6
LATS2	1	1	0.087839996	13
LAX1	1	1	0.02367587	1
LAYN	1	1	0.16999744	11
LBH	1	1	0.232160095	2
LBP	1	1	0.0123537	20
LBR	1	1	0.021078282	1
LBX1	1	1	0.068646566	10
LBX2	1	1	0.26411101	2
LCA5	1	1	0.587107223	6
LCA5L	1	1	0.558674789	21
LCAT	1	1	0.077926907	16
LCE1A	1	1	0.024328476	1
LCE1B	1	1	0.006957755	1
LCE1C	1	1	0.005527605	1
LCE1D	1	1	0.182966056	1
LCE1E	1	1	0.051272276	1
LCE1F	1	1	0.318652916	1
LCE2A	1	1	0.077791236	1
LCE2B	1	1	0.026412844	1
LCE2C	1	1	0.0033181	1
LCE2D	1	1	0.054343265	1
LCE3A	1	1	0.072579177	1
LCE3B	1	1	0.065260238	1
LCE3D	1	1	0.038855137	1
LCE3E	1	1	0.065150981	1
LCE4A	1	1	0.152784317	1
LCE6A	1	1	0.040914918	1
LCK	1	1	0.049770334	1
LCLAT1	1	1	0.121039558	2
LCMT1	1	1	0.285203427	16
LCMT2	1	1	0.358208564	15
LCN1	1	1	0.04415147	9
LCN10	1	1	0.600028958	9
LCN12	1	1	0.12918281	9
LCN15	1	1	0.135195318	9
LCN2	1	1	0.269862994	9
LCN6	1	1	0.071822173	9
LCN8	1	1	0.42813646	9
LCN9	1	1	0.302746461	9
LCNL1	1	1	0.131560787	9
LCORL	1	1	0.072799232	4
LCP1	1	1	0.651089786	13
LCP2	1	1	0.182206252	5
LCT	1	1	0.110455884	2
LCTL	1	1	0.131826369	15
LDB2	1	1	0.413372913	4
LDB3	1	1	0.292347793	10
LDHA	1	1	0.318801661	11
LDHAL6A	1	1	0.391555883	11
LDHAL6B	1	1	0.205014118	15
LDHB	1	1	0.071650687	12
LDHC	1	1	0.049057536	11
LDHD	1	1	0.036388405	16
LDLR	1	1	0.041790004	19
LDLRAD1	1	1	0.02963061	1
LDLRAD2	1	1	0.042193526	1
LDLRAD3	1	1	0.029300536	11
LDLRAD4	1	1	0.015048524	18
LDLRAP1	1	1	0.08571591	1
LDOC1	1	1	0.028131536	X
LEAP2	1	1	0.099738477	5
LECT1	1	1	0.569042592	13
LECT2	1	1	0.07094585	5
LEF1	1	1	0.307504186	4
LEFTY1	1	1	0.024794286	1
LEFTY2	1	1	0.011548764	1
LEKR1	1	1	0.016247328	3
LELP1	1	1	0.018758502	1
LEMD1	1	1	0.032253468	1
LEMD3	1	1	0.213472188	12
LENEP	1	1	0.06267119	1
LENG1	1	1	0.060580683	19
LENG8	1	1	0.013608284	19
LENG9	1	1	0.244917474	19
LEO1	1	1	0.034191811	15
LEP	1	1	0.030462229	7
LEPR	1	1	0.418731931	1
LEPRE1	1	1	0.151881843	1
LEPREL1	1	1	0.012136243	3
LEPREL4	1	1	0.139569217	17
LEPROT	1	1	0.403418421	1
LEPROTL1	1	1	0.506013763	8
LETM1	1	1	0.175222353	4
LETMD1	1	1	0.045582808	12
LEUTX	1	1	0.286972364	19
LFNG	1	1	0.137105842	7
LGALS1	1	1	0.075000708	22
LGALS12	1	1	0.263746874	11
LGALS13	1	1	0.063180949	19
LGALS14	1	1	0.018299325	19
LGALS3	1	1	0.343861286	14
LGALS3BP	1	1	0.016059493	17
LGALS4	1	1	0.024958011	19
LGALS7B	1	1	0.067870968	19
LGALS8	1	1	0.238561649	1
LGALS9	1	1	0.486255517	17
LGALS9B	1	1	0.142591091	17
LGALS9C	1	1	0.029841512	17
LGI1	1	1	0.371830238	10
LGI2	1	1	0.349020593	4
LGI3	1	1	0.749960366	8
LGI4	1	1	0.107420886	19
LGMN	1	1	0.045635947	14
LGR5	1	1	0.091856547	12
LGR6	1	1	0.008417848	1
LGSN	1	1	0.038431212	6
LGTN	1	1	0.1498305	1
LHB	1	1	0.078577374	19
LHCGR	1	1	0.023956822	2
LHFP	1	1	0.205306346	13
LHFPL1	1	1	0.065663772	X
LHFPL2	1	1	0.259881634	5
LHFPL4	1	1	0.178717187	3
LHFPL5	1	1	0.014012607	6
LHPP	1	1	0.110644135	10
LHX1	1	1	0.139620982	17
LHX2	1	1	0.037802288	9
LHX3	1	1	0.05084975	9
LHX4	1	1	0.072770866	1
LHX5	1	1	0.241383126	12
LHX6	1	1	0.184051995	9
LHX8	1	1	0.403019208	1
LHX9	1	1	0.007902618	1
LIF	1	1	0.455454656	22
LIG1	1	1	0.109420014	19
LIG3	1	1	0.15866195	17
LIG4	1	1	0.054113026	13
LILRA1	1	1	0.046268974	19
LILRA2	1	1	0.019016431	19
LILRA3	1	1	0.008605567	19
LILRA4	1	1	0.287450822	19
LILRA5	1	1	0.046141957	19
LILRA6	1	1	0.04461486	19
LILRB1	1	1	0.053220574	19
LILRB2	1	1	0.250510916	19
LILRB3	1	1	0.122136076	19
LILRB4	1	1	0.031537508	19
LILRB5	1	1	0.01500783	19
LIM2	1	1	0.186195012	19
LIMD1	1	1	0.078875585	3
LIME1	1	1	0.257343713	20
LIMK1	1	1	0.192175526	7
LIMK2	1	1	0.097497441	22
LIMS1	1	1	0.12146824	2
LIMS2	1	1	0.328895699	2
LIN28A	1	1	0.316162897	1
LIN37	1	1	0.064472144	19
LIN52	1	1	0.168765432	14
LIN54	1	1	0.349039645	4
LIN7A	1	1	0.043823478	12
LIN7B	1	1	0.364042169	19
LIN7C	1	1	0.13530749	11
LIN9	1	1	0.096159911	1
LINC00615	1	1	0.196667236	12
LINGO1	1	1	0.089178331	15
LINGO2	1	1	0.055022585	9
LINGO3	1	1	0.208868831	19
LINGO4	1	1	0.012869786	1
LINS	1	1	0.326336509	15
LIPA	1	1	0.440812434	10
LIPC	1	1	0.124203763	15
LIPE	1	1	0.008721476	19
LIPF	1	1	0.379210552	10
LIPG	1	1	0.095888431	18
LIPH	1	1	0.089846948	3
LIPI	1	1	0.118711956	21
LIPJ	1	1	0.593608665	10
LIPK	1	1	0.401791231	10
LIPM	1	1	0.308532163	10
LIPN	1	1	0.570586789	10
LIPT1	1	1	0.134479994	2
LIPT2	1	1	0.080335298	11
LITAF	1	1	0.112529628	16
LIX1	1	1	0.07371218	5
LIX1L	1	1	0.341444372	1
LLGL1	1	1	0.108083899	17
LLGL2	1	1	0.225283778	17
LLPH	1	1	0.245302738	12
LMAN1	1	1	0.484664026	18
LMAN1L	1	1	0.128777711	15
LMAN2	1	1	0.045460306	5
LMAN2L	1	1	0.356608329	2
LMBR1	1	1	0.018704293	7
LMBR1L	1	1	0.094999631	12
LMBRD1	1	1	0.29981956	6
LMCD1	1	1	0.150193577	3
LMF1	1	1	0.089669194	16
LMF2	1	1	0.223969582	22
LMLN	1	1	0.007101141	3
LMNA	1	1	0.00785973	1
LMNB1	1	1	0.071514718	5
LMNB2	1	1	0.050995846	19
LMO1	1	1	0.247610248	11
LMO2	1	1	0.267821866	11
LMO3	1	1	0.049579936	12
LMO4	1	1	0.350054784	1
LMO7	1	1	0.49500842	13
LMOD1	1	1	0.070590453	1
LMOD2	1	1	0.011243346	7
LMOD3	1	1	0.344514796	3
LMTK2	1	1	0.028035058	7
LMTK3	1	1	0.365193082	19
LMX1A	1	1	0.109790957	1
LMX1B	1	1	0.101679586	9
LNP1	1	1	0.064365258	3
LNPEP	1	1	0.211698979	5
LNX1	1	1	0.007989896	4
LOC200726	1	1	0.118044851	2
LOC286238	1	1	0.335636211	9
LOC391322	1	1	0.174071683	22
LOC440563	1	1	0.275758373	1
LOC442425	1	1	0.294791921	9
LOC646498	1	1	0.365424084	3
LOC649330	1	1	0.354724445	1
LOC652153	1	1	0.21532907	16
LOC729020	1	1	0.101944617	10
LOC81691	1	1	0.019470597	16
LOH12CR1	1	1	0.393667862	12
LONP1	1	1	0.094302527	19
LONP2	1	1	0.495512385	16
LONRF1	1	1	0.065226599	8
LONRF3	1	1	0.191831623	X
LOX	1	1	0.296476506	5
LOXHD1	1	1	0.059831601	18
LOXL1	1	1	0.184945583	15
LOXL2	1	1	0.030037164	8
LOXL3	1	1	0.215489707	2
LOXL4	1	1	0.060742402	10
LPA	1	1	0.263019816	6
LPAR1	1	1	0.051804288	9
LPAR4	1	1	0.389498652	X
LPAR5	1	1	0.014842056	12
LPAR6	1	1	0.490553048	13
LPCAT1	1	1	0.03499525	5
LPCAT2	1	1	0.121227162	16
LPCAT4	1	1	0.455457996	15
LPGAT1	1	1	0.059277782	1
LPHN2	1	1	0.161174627	1
LPHN3	1	1	0.225411027	4
LPIN1	1	1	0.092311899	2
LPIN2	1	1	0.270035708	18
LPIN3	1	1	0.019892139	20
LPL	1	1	0.276326189	8
LPO	1	1	0.047456807	17
LPP	1	1	0.207843721	3
LPPR1	1	1	0.413439796	9
LPPR2	1	1	0.317868195	19
LPPR3	1	1	0.327209897	19
LPPR4	1	1	0.014867486	1
LPXN	1	1	0.050703958	11
LRAT	1	1	0.044866027	4
LRCH1	1	1	0.393901518	13
LRCH2	1	1	0.180534312	X
LRCH3	1	1	0.086939848	3
LRCH4	1	1	0.01012884	7
LRFN1	1	1	0.003503055	19
LRFN2	1	1	0.037640213	6
LRFN3	1	1	0.068166631	19
LRFN5	1	1	0.055639274	14
LRG1	1	1	0.207015998	19
LRGUK	1	1	0.042559834	7
LRIF1	1	1	0.083293774	1
LRIG1	1	1	0.323837528	3
LRIG2	1	1	0.040446821	1
LRIT1	1	1	0.21735135	10
LRIT2	1	1	0.333463099	10
LRIT3	1	1	0.150629996	4
LRMP	1	1	0.020568848	12
LRP1	1	1	0.048462092	12
LRP10	1	1	0.077899195	14
LRP11	1	1	0.077056591	6
LRP12	1	1	0.293004201	8
LRP1B	1	1	0.192060097	2
LRP2	1	1	0.060882844	2
LRP2BP	1	1	0.319162647	4
LRP3	1	1	0.037901672	19
LRP4	1	1	0.03341484	11
LRP5	1	1	0.013053224	11
LRP5L	1	1	0.066445353	22
LRP6	1	1	0.053179124	12
LRP8	1	1	0.027157031	1
LRPAP1	1	1	0.09995995	4
LRRC1	1	1	0.057620138	6
LRRC10	1	1	0.053506155	12
LRRC14	1	1	0.10320191	8
LRRC14B	1	1	0.018983478	5
LRRC15	1	1	0.001128819	3
LRRC16A	1	1	0.046772776	6
LRRC16B	1	1	0.067100582	14
LRRC17	1	1	0.056205853	7
LRRC18	1	1	0.021942467	10
LRRC19	1	1	0.046837539	9
LRRC2	1	1	0.555632578	3
LRRC20	1	1	0.430377804	10
LRRC23	1	1	0.105858516	12
LRRC24	1	1	0.033414406	8
LRRC25	1	1	0.361760891	19
LRRC27	1	1	0.188158605	10
LRRC29	1	1	0.125037597	16
LRRC3	1	1	0.032622274	21
LRRC30	1	1	0.111015435	18
LRRC31	1	1	0.032125002	3
LRRC32	1	1	0.057647011	11
LRRC33	1	1	0.002310033	3
LRRC34	1	1	0.033080829	3
LRRC36	1	1	0.048537183	16
LRRC37A	1	1	0.197450167	17
LRRC37A2	1	1	0.202763942	17
LRRC37A3	1	1	0.068662352	17
LRRC37B	1	1	0.139489558	17
LRRC39	1	1	0.062982396	1
LRRC3B	1	1	0.134531307	3
LRRC3C	1	1	0.060170962	17
LRRC4	1	1	0.033964451	7
LRRC40	1	1	0.16987352	1
LRRC41	1	1	0.069109056	1
LRRC42	1	1	0.055465786	1
LRRC43	1	1	0.408031381	12
LRRC45	1	1	0.028854729	17
LRRC46	1	1	0.207928611	17
LRRC47	1	1	0.33429745	1
LRRC48	1	1	0.098617318	17
LRRC49	1	1	0.165910086	15
LRRC4B	1	1	0.026756876	19
LRRC4C	1	1	0.187453513	11
LRRC52	1	1	0.046469253	1
LRRC53	1	1	0.301542058	1
LRRC55	1	1	0.051534682	11
LRRC56	1	1	0.404829675	11
LRRC57	1	1	0.39994732	15
LRRC59	1	1	0.02351376	17
LRRC6	1	1	0.096404038	8
LRRC61	1	1	0.029842688	7
LRRC63	1	1	0.280538058	13
LRRC66	1	1	0.016456535	4
LRRC69	1	1	0.026718012	8
LRRC7	1	1	0.065584016	1
LRRC70	1	1	0.23841277	5
LRRC71	1	1	0.052587974	1
LRRC73	1	1	0.027209127	6
LRRC8A	1	1	0.027729364	9
LRRC8B	1	1	0.127001787	1
LRRC8C	1	1	0.032351738	1
LRRC8D	1	1	0.144303951	1
LRRC8E	1	1	0.294611217	19
LRRCC1	1	1	0.121711726	8
LRRD1	1	1	0.08601974	7
LRRFIP1	1	1	0.431415959	2
LRRFIP2	1	1	0.33380934	3
LRRIQ1	1	1	0.239517633	12
LRRIQ4	1	1	0.008923689	3
LRRK1	1	1	0.01794208	15
LRRK2	1	1	0.137716099	12
LRRN1	1	1	0.077433681	3
LRRN2	1	1	0.00929467	1
LRRN3	1	1	0.112016711	7
LRRN4	1	1	0.0251991	20
LRRN4CL	1	1	0.096578036	11
LRRTM1	1	1	0.062985435	2
LRRTM2	1	1	0.041929227	5
LRRTM3	1	1	0.287437594	10
LRRTM4	1	1	0.087918569	2
LRSAM1	1	1	0.300239888	9
LRTM1	1	1	0.252944492	3
LRTM2	1	1	0.023637127	12
LRTOMT	1	1	0.017369661	11
LRWD1	1	1	0.091029954	7
LSAMP	1	1	0.006984165	3
LSG1	1	1	0.012538904	3
LSM1	1	1	0.021060158	8
LSM10	1	1	0.078365461	1
LSM11	1	1	0.111638879	5
LSM12	1	1	0.053620576	17
LSM14A	1	1	0.117354055	19
LSM14B	1	1	0.074244343	20
LSM2	1	1	0.102411493	6
LSM3	1	1	0.550906954	3
LSM4	1	1	0.386846092	19
LSM5	1	1	0.039586952	7
LSM6	1	1	0.25081566	4
LSMD1	1	1	0.231085513	17
LSMEM1	1	1	0.129989472	7
LSMEM2	1	1	0.385374989	3
LSP1	1	1	0.595775752	11
LSR	1	1	0.047152643	19
LSS	1	1	0.01565261	21
LST1	1	1	0.242679562	6
LTA	1	1	0.015751327	6
LTA4H	1	1	0.11682215	12
LTB	1	1	0.068200634	6
LTB4R	1	1	0.014701362	14
LTB4R2	1	1	0.058486875	14
LTBP1	1	1	0.224237113	2
LTBP2	1	1	0.055286568	14
LTBP4	1	1	0.184427485	19
LTBR	1	1	0.107492073	12
LTF	1	1	0.23026918	3
LTK	1	1	0.109475878	15
LTN1	1	1	0.043155971	21
LTV1	1	1	0.134315539	6
LUC7L	1	1	0.070056236	16
LUM	1	1	0.040988863	12
LURAP1	1	1	0.101829079	1
LURAP1L	1	1	0.097031562	9
LUZP1	1	1	0.294077405	1
LUZP2	1	1	0.073137711	11
LUZP4	1	1	0.024395342	X
LXN	1	1	0.031010009	3
LY6D	1	1	0.008982643	8
LY6E	1	1	0.029795042	8
LY6G5B	1	1	0.137444075	6
LY6G5C	1	1	0.194522802	6
LY6G6C	1	1	0.103253122	6
LY6G6D	1	1	0.102704101	6
LY6G6F	1	1	0.631517804	6
LY6H	1	1	0.02977828	8
LY6K	1	1	0.010089665	8
LY86	1	1	0.024171709	6
LY9	1	1	0.08342854	1
LY96	1	1	0.020611857	8
LYG1	1	1	0.310136154	2
LYG2	1	1	0.048868956	2
LYL1	1	1	0.054927904	19
LYN	1	1	0.095173517	8
LYNX1	1	1	0.008623761	8
LYPD1	1	1	0.453802721	2
LYPD2	1	1	0.008590922	8
LYPD3	1	1	0.201429552	19
LYPD4	1	1	0.062416805	19
LYPD5	1	1	0.080492649	19
LYPD6	1	1	0.442440976	2
LYPD6B	1	1	0.130356351	2
LYPLA1	1	1	0.023937281	8
LYPLA2	1	1	0.427067333	1
LYPLAL1	1	1	0.269101795	1
LYRM1	1	1	0.052819281	16
LYRM2	1	1	0.480182484	6
LYRM4	1	1	0.079759671	6
LYRM7	1	1	0.211534313	5
LYRM9	1	1	0.116984035	17
LYSMD1	1	1	0.044213961	1
LYSMD2	1	1	0.219387222	15
LYSMD4	1	1	0.307786892	15
LYVE1	1	1	0.086001482	11
LYZ	1	1	0.068529326	12
LYZL1	1	1	0.028255803	10
LYZL2	1	1	0.202889456	10
LYZL4	1	1	0.38128866	3
LYZL6	1	1	0.515941475	17
LZIC	1	1	0.126583574	1
LZTFL1	1	1	0.391006382	3
LZTR1	1	1	0.215525058	22
LZTS1	1	1	0.013192519	8
LZTS2	1	1	0.397570187	10
M6PR	1	1	0.102890904	12
MAATS1	1	1	0.236864055	3
MAB21L1	1	1	0.106594845	13
MAB21L2	1	1	0.077416782	4
MAB21L3	1	1	0.192704653	1
MACC1	1	1	0.031868619	7
MACF1	1	1	0.060700126	1
MACROD1	1	1	0.023121958	11
MACROD2	1	1	0.089093849	20
MAD1L1	1	1	0.019688164	7
MAD2L1	1	1	0.189047895	4
MAD2L1BP	1	1	0.059069187	6
MAD2L2	1	1	0.268912543	1
MADCAM1	1	1	0.407126438	19
MADD	1	1	0.090308808	11
MAEA	1	1	0.062389303	4
MAEL	1	1	0.02453622	1
MAF	1	1	0.173446022	16
MAF1	1	1	0.022753284	8
MAFB	1	1	0.188163085	20
MAFF	1	1	0.199553668	22
MAFG	1	1	0.034715837	17
MAFK	1	1	0.023976353	7
MAG	1	1	0.037989988	19
MAGEA1	1	1	0.036214281	X
MAGEA10	1	1	0.026075401	X
MAGEA11	1	1	0.009978322	X
MAGEA12	1	1	0.0008944	X
MAGEA4	1	1	0.079200728	X
MAGEA5	1	1	0.046439123	X
MAGEA6	1	1	0.018340201	X
MAGEA8	1	1	0.023243472	X
MAGEB1	1	1	0.037325527	X
MAGEB10	1	1	0.056506916	X
MAGEB16	1	1	0.079920374	X
MAGEB18	1	1	0.073842601	X
MAGEB2	1	1	0.140459305	X
MAGEB3	1	1	0.046710729	X
MAGEB4	1	1	0.133204701	X
MAGEB6	1	1	0.007091553	X
MAGEC1	1	1	0.036752564	X
MAGEC2	1	1	0.007120839	X
MAGEC3	1	1	0.069639171	X
MAGEE1	1	1	0.130540571	X
MAGEF1	1	1	0.143443037	3
MAGEH1	1	1	0.173548959	X
MAGEL2	1	1	0.260424986	15
MAGI1	1	1	0.167329528	3
MAGI2	1	1	0.16206791	7
MAGI3	1	1	0.120324828	1
MAGIX	1	1	0.088923171	X
MAGOH	1	1	0.017547331	1
MAGOHB	1	1	0.026185628	12
MAGT1	1	1	0.086173277	X
MAK	1	1	0.190783215	6
MAK16	1	1	0.412015236	8
MAL	1	1	0.492724063	2
MAL2	1	1	0.04940646	8
MALL	1	1	0.050310626	2
MALSU1	1	1	0.049508796	7
MAMDC2	1	1	0.050448424	9
MAMDC4	1	1	0.289180549	9
MAML1	1	1	0.121567312	5
MAML2	1	1	0.039036934	11
MAML3	1	1	0.160024893	4
MAMLD1	1	1	0.023185142	X
MAMSTR	1	1	0.353319753	19
MAN1A1	1	1	0.148987348	6
MAN1A2	1	1	0.155113537	1
MAN1B1	1	1	0.546171336	9
MAN1C1	1	1	0.342414176	1
MAN2A1	1	1	0.011192555	5
MAN2A2	1	1	0.007525671	15
MAN2B1	1	1	0.053049412	19
MAN2B2	1	1	0.111670659	4
MAN2C1	1	1	0.013869224	15
MANBA	1	1	0.45873241	4
MANBAL	1	1	0.035635993	20
MANEAL	1	1	0.097469513	1
MANF	1	1	0.339003224	3
MANSC1	1	1	0.190130868	12
MAOA	1	1	0.159330813	X
MAOB	1	1	0.407393726	X
MAP10	1	1	0.094986307	1
MAP1A	1	1	0.396165724	15
MAP1B	1	1	0.073469595	5
MAP1LC3A	1	1	0.137339543	20
MAP1LC3B	1	1	0.521756393	16
MAP1LC3B2	1	1	0.284246703	12
MAP1LC3C	1	1	0.03137753	1
MAP1S	1	1	0.055571153	19
MAP2	1	1	0.411882295	2
MAP2K1	1	1	0.085055725	15
MAP2K2	1	1	0.049437576	19
MAP2K3	1	1	0.178175248	17
MAP2K5	1	1	0.268636581	15
MAP2K6	1	1	0.045812978	17
MAP2K7	1	1	0.437020368	19
MAP3K10	1	1	0.006910629	19
MAP3K11	1	1	0.080881069	11
MAP3K14	1	1	0.119409738	17
MAP3K15	1	1	0.076037395	X
MAP3K19	1	1	0.107052119	2
MAP3K2	1	1	0.661201156	2
MAP3K3	1	1	0.062022777	17
MAP3K5	1	1	0.04139691	6
MAP3K7	1	1	0.078386748	6
MAP3K7CL	1	1	0.573201355	21
MAP3K8	1	1	0.044883134	10
MAP3K9	1	1	0.061004955	14
MAP4	1	1	0.236239037	3
MAP4K1	1	1	0.051381231	19
MAP4K2	1	1	0.068184238	11
MAP6	1	1	0.039760032	11
MAP7D3	1	1	0.181365906	X
MAPK1	1	1	0.065220011	22
MAPK10	1	1	0.315242414	4
MAPK11	1	1	0.165097912	22
MAPK12	1	1	0.319650627	22
MAPK13	1	1	0.02945964	6
MAPK14	1	1	0.150813368	6
MAPK1IP1L	1	1	0.167256931	14
MAPK3	1	1	0.108637654	16
MAPK4	1	1	0.091065746	18
MAPK6	1	1	0.121984586	15
MAPK7	1	1	0.068485762	17
MAPK8	1	1	0.440688673	10
MAPK8IP1	1	1	0.019408261	11
MAPK8IP2	1	1	0.660867598	22
MAPK8IP3	1	1	0.038449797	16
MAPK9	1	1	0.00881951	5
MAPKAP1	1	1	0.031708092	9
MAPKAPK2	1	1	0.137413163	1
MAPKAPK3	1	1	0.296015351	3
MAPKAPK5	1	1	0.596872371	12
MAPKBP1	1	1	0.560862044	15
MAPRE1	1	1	0.12118375	20
MAPRE2	1	1	0.038324069	18
MAPRE3	1	1	0.384452968	2
MAPT	1	1	0.048721433	17
MARCKS	1	1	0.786855167	6
MARCO	1	1	0.026718372	2
MARK1	1	1	0.03165831	1
MARK3	1	1	0.116377391	14
MARK4	1	1	0.037479836	19
MARS	1	1	0.031416269	12
MARS2	1	1	0.036977631	2
MARVELD2	1	1	0.094327149	5
MARVELD3	1	1	0.381163522	16
MAS1	1	1	0.334212572	6
MAS1L	1	1	0.01814883	6
MASP1	1	1	0.006073319	3
MASP2	1	1	0.072564146	1
MAST1	1	1	0.108597714	19
MAST3	1	1	0.03937252	19
MAST4	1	1	0.101106144	5
MASTL	1	1	0.454119684	10
MAT1A	1	1	0.08030915	10
MAT2A	1	1	0.140472395	2
MAT2B	1	1	0.052037046	5
MATK	1	1	0.249899401	19
MATN1	1	1	0.019258267	1
MATN2	1	1	0.057799308	8
MATN3	1	1	0.228389709	2
MATN4	1	1	0.120011575	20
MATR3	1	1	0.232945523	5
MAU2	1	1	0.067202559	19
MAVS	1	1	0.273925119	20
MAX	1	1	0.01295059	14
MB	1	1	0.412992707	22
MB21D1	1	1	0.283188336	6
MB21D2	1	1	0.03890545	3
MBD3	1	1	0.314162076	19
MBD3L1	1	1	0.056958487	19
MBD3L3	1	1	0.144062411	19
MBD4	1	1	0.124142975	3
MBD5	1	1	0.227353469	2
MBIP	1	1	0.100837362	14
MBL2	1	1	0.611673583	10
MBLAC1	1	1	0.124144874	7
MBLAC2	1	1	0.380532916	5
MBNL2	1	1	0.046443501	13
MBNL3	1	1	0.329269995	X
MBOAT1	1	1	0.017837662	6
MBOAT2	1	1	0.027148543	2
MBOAT4	1	1	0.287382344	8
MBOAT7	1	1	0.012413149	19
MBP	1	1	0.237104049	18
MBTD1	1	1	0.023022564	17
MBTPS1	1	1	0.430163774	16
MBTPS2	1	1	0.248317251	X
MC1R	1	1	0.150129087	16
MC2R	1	1	0.016745216	18
MC3R	1	1	0.039983699	20
MC4R	1	1	0.19372126	18
MC5R	1	1	0.002388478	18
MCAM	1	1	0.011254232	11
MCAT	1	1	0.298437029	22
MCC	1	1	0.568766745	5
MCCC1	1	1	0.071262476	3
MCCC2	1	1	0.184869007	5
MCCD1	1	1	0.101394858	6
MCEE	1	1	0.405438901	2
MCF2L	1	1	0.041638089	13
MCF2L2	1	1	0.089229582	3
MCFD2	1	1	0.088627951	2
MCHR1	1	1	0.024439656	22
MCHR2	1	1	0.17868719	6
MCL1	1	1	0.084902857	1
MCM10	1	1	0.036178755	10
MCM2	1	1	0.069740135	3
MCM3	1	1	0.202750319	6
MCM3AP	1	1	0.138798015	21
MCM4	1	1	0.006941251	8
MCM5	1	1	0.040667692	22
MCM6	1	1	0.012770755	2
MCM8	1	1	0.034524713	20
MCM9	1	1	0.378718526	6
MCMBP	1	1	0.567509865	10
MCMDC2	1	1	0.186996565	8
MCOLN1	1	1	0.214278382	19
MCOLN2	1	1	0.027238603	1
MCOLN3	1	1	0.022930866	1
MCTP1	1	1	0.284086761	5
MCTP2	1	1	0.018968847	15
MCTS1	1	1	0.211629437	X
